p,m_k,n_k,q_k
197593793,26,2,11423
197599253,2,2,14057
197765873,22,2,13913
198274577,4,2,14081
198347273,14,2,14083
198443573,2,2,14087
198459953,14,2,14087
198705713,18,2,14087
199007453,2,2,14107
199289873,26,2,11497
199427873,26,2,11503
200025473,10,2,14143
200194217,4,2,14149
200259737,16,2,14149
200542817,16,2,14159
200873993,6,2,14173
200874953,10,2,14173
200987393,6,2,14177
201119393,22,2,14033
201136073,18,2,14173
201838853,2,2,14207
201838913,6,2,14207
201855233,14,2,14207
202240937,12,2,14221
202262131,7,3,587
202302377,16,2,14221
202435553,26,2,11633
202637873,22,2,14087
202786291,19,3,587
202863113,6,2,14243
202864073,10,2,14243
202879433,14,2,14243
203038097,12,2,14249
203091017,4,2,14251
203099537,16,2,14249
203892257,24,2,13679
204139577,20,2,14251
204218753,22,2,14143
204289853,2,2,14293
204396953,26,2,11717
204713897,24,2,13709
204837953,18,2,14303
205068233,22,2,14173
205091297,8,2,14321
205148393,6,2,14323
205156577,16,2,14321
205262657,24,2,13729
205664297,4,2,14341
205836473,6,2,14347
205867217,24,2,13751
205947953,26,2,11783
206033153,22,2,14207
207108857,16,2,14389
207189617,24,2,13799
207388817,4,2,14401
207392897,12,2,14401
207516737,20,2,14369
207839633,26,2,11863
208257857,12,2,14431
208427033,6,2,14437
208443353,14,2,14437
208536049,13,3,593
208715873,6,2,14447
208732193,14,2,14447
208770113,22,2,14303
208773857,8,2,14449
209120777,8,2,14461
209302337,20,2,14431
209641697,8,2,14479
209706977,16,2,14479
209983073,26,2,11953
210030713,22,2,14347
210338033,10,2,14503
211208093,2,2,14533
211276913,26,2,12007
211586513,18,2,14537
211677497,12,2,14549
211738937,16,2,14549
211906313,6,2,14557
211907273,10,2,14557
211998233,26,2,12037
212081033,6,2,14563
212142713,26,2,12043
212343113,18,2,14563
212621273,22,2,14437
212866193,26,2,12073
212962817,16,2,14591
213071297,20,2,14561
213217793,18,2,14593
213945857,20,2,14591
214125713,10,2,14633
214300577,8,2,14639
214561313,26,2,12143
214726793,14,2,14653
214827713,6,2,14657
215056217,20,2,14629
215089793,18,2,14657
215179577,4,2,14669
215179817,8,2,14669
215348897,20,2,14639
215591513,10,2,14683
215852633,18,2,14683
216064697,12,2,14699
216100553,22,2,14557
216126137,16,2,14699
216472433,6,2,14713
216590093,2,2,14717
217006457,12,2,14731
217028873,18,2,14723
217297097,4,2,14741
217301177,12,2,14741
217474073,6,2,14747
217651073,6,2,14753
217652033,10,2,14753
217832177,12,2,14759
217833593,26,2,12277
217913153,18,2,14753
218064293,2,2,14767
218318993,22,2,14633
218422937,12,2,14779
218537153,6,2,14783
218799233,18,2,14783
218876657,20,2,14759
218951273,6,2,14797
219021953,22,2,14657
219231017,20,2,14771
219424973,2,2,14813
219425993,10,2,14813
219666137,12,2,14821
219687113,18,2,14813
219784793,22,2,14683
219811217,24,2,14249
219839993,6,2,14827
219840953,10,2,14827
219962657,12,2,14831
220024097,16,2,14831
220552457,8,2,14851
220666673,22,2,14713
220710617,20,2,14821
220724177,24,2,14281
220784393,22,2,14717
221027753,6,2,14867
221087417,8,2,14869
221091257,12,2,14869
221622773,2,2,14887
221920613,2,2,14897
221921633,10,2,14897
221936993,14,2,14897
222684593,26,2,12473
222875297,8,2,14929
223177817,12,2,14939
223532417,4,2,14951
223532657,8,2,14951
223536497,12,2,14951
223648559,4,3,607
223649567,10,3,607
223664927,14,3,607
223711853,2,2,14957
224071217,8,2,14969
224075057,12,2,14969
224491313,10,2,14983
224506673,14,2,14983
224580977,20,2,14951
224686673,26,2,12553
224697119,20,3,607
224752433,18,2,14983
225030977,24,2,14431
225511313,10,2,15017
225526673,14,2,15017
225550817,24,2,14449
225772433,18,2,15017
225930977,4,2,15031
226802633,26,2,12637
227055473,26,2,12647
227195393,6,2,15073
227211713,14,2,15073
227316953,10,2,15077
227457473,18,2,15073
227497913,10,2,15083
227759033,18,2,15083
227842847,22,3,607
228040217,4,2,15101
228040457,8,2,15101
228221453,2,2,15107
228322673,26,2,12697
229189577,8,2,15139
229193417,12,2,15139
229390913,18,2,15137
229496297,12,2,15149
229557737,16,2,15149
229704593,22,2,15017
229849913,26,2,12757
230219993,6,2,15173
230236313,14,2,15173
230347421,10,3,613
230907113,18,2,15187
231861533,2,2,15227
232045313,10,2,15233
232288097,4,2,15241
232306433,18,2,15233
232353617,16,2,15241
232415753,22,2,15107
232837097,4,2,15259
232837817,24,2,14699
232960193,10,2,15263
232975553,14,2,15263
233207537,12,2,15271
233268977,16,2,15271
233336657,20,2,15241
233403113,14,2,15277
233699513,26,2,12907
233753777,8,2,15289
233885657,20,2,15259
234190937,20,2,15269
234305273,10,2,15307
234320633,14,2,15307
234487973,2,2,15313
234488993,10,2,15313
234671777,4,2,15319
234737297,16,2,15319
234887161,11,3,617
234889073,26,2,12953
235043657,12,2,15331
235196057,24,2,14779
235251953,26,2,12967
235407593,26,2,12973
235667153,26,2,12983
235902977,12,2,15359
235960337,4,2,15361
235960577,8,2,15361
236329133,2,2,15373
236330153,10,2,15373
236591273,18,2,15373
236735777,24,2,14831
236883137,8,2,15391
236886977,12,2,15391
236947457,20,2,15359
236948417,16,2,15391
237153473,22,2,15263
237191057,8,2,15401
237228713,26,2,13043
237560573,2,2,15413
237560633,6,2,15413
237561593,10,2,15413
237864377,24,2,14869
237886673,22,2,15287
238486253,2,2,15443
238487273,10,2,15443
238682273,22,2,15313
239108057,16,2,15461
239952473,26,2,13147
240033113,6,2,15493
240091097,20,2,15461
240309617,24,2,14951
240373433,26,2,13163
240848177,24,2,14969
241087793,6,2,15527
241104113,14,2,15527
241837697,12,2,15551
242393777,4,2,15569
242571257,20,2,15541
242680553,22,2,15443
242708177,24,2,15031
242771657,12,2,15581
242829953,6,2,15583
243092033,18,2,15583
243422393,22,2,15467
243840593,18,2,15607
244140881,8,12,5
244227353,22,2,15493
244269737,12,2,15629
244439777,20,2,15601
244965593,18,2,15643
245001737,20,2,15619
245189201,20,12,5
245271017,12,2,15661
245421857,24,2,15121
245454893,2,2,15667
245717033,18,2,15667
245896577,16,2,15679
245956553,6,2,15683
245966537,24,2,15139
247464377,4,2,15731
247468457,12,2,15731
247600673,18,2,15727
247716377,8,2,15739
247781657,16,2,15739
247915313,18,2,15737
248031257,8,2,15749
248409137,4,2,15761
248409377,8,2,15761
248474657,16,2,15761
248803913,14,2,15773
249008033,26,2,13487
249049673,18,2,15773
249229433,6,2,15787
249245753,14,2,15787
249546233,10,2,15797
249614297,24,2,15259
249734873,6,2,15803
249735833,10,2,15803
249919577,24,2,15269
249980657,24,2,15271
250177493,2,2,15817
250177553,6,2,15817
250193873,14,2,15817
250367333,2,2,15823
250368353,10,2,15823
251239607,4,3,631
251508137,8,2,15859
251816777,24,2,15331
251847473,22,2,15737
252422633,26,2,13613
252845897,12,2,15901
252907337,16,2,15901
252967553,26,2,13633
253049033,14,2,15907
253224593,10,2,15913
253294793,18,2,15907
253418657,12,2,15919
253508897,20,2,15889
253541993,6,2,15923
253739513,22,2,15797
253804073,18,2,15923
254004353,14,2,15937
254442833,26,2,13687
254689697,4,2,15959
255073097,8,2,15971
255136733,2,2,15973
255712097,4,2,15991
255738257,20,2,15959
256032017,4,2,16001
256036097,12,2,16001
256529033,26,2,13763
256760657,20,2,15991
257736233,22,2,15923
257959817,12,2,16061
258148493,2,2,16067
258212777,4,2,16069
258341393,6,2,16073
258792593,10,2,16087
258920297,4,2,16091
259114433,10,2,16097
259322993,14,2,16103
259629857,16,2,16111
259679993,26,2,13877
259846553,26,2,13883
259968857,20,2,16091
260080193,6,2,16127
260148737,12,4,127
261193217,20,4,127
261515897,20,2,16139
261668417,24,2,15649
261889493,2,2,16183
261890513,10,2,16183
262021553,22,2,16057
262035353,14,2,16187
262083737,4,2,16189
262087817,12,2,16189
262149257,16,2,16189
262185953,26,2,13967
262357457,24,2,15671
262535633,22,2,16073
263007473,14,2,16217
263132297,20,2,16189
263186753,10,2,16223
263374753,5,3,641
263374849,7,3,641
263449457,12,2,16231
264241577,24,2,15731
264274433,22,2,16127
264422153,18,2,16253
264615293,2,2,16267
264708113,26,2,14057
264810593,6,2,16273
265726697,12,2,16301
265847963,8,3,643
265848731,10,3,643
266213273,22,2,16187
266310017,8,2,16319
266701697,24,2,15809
266766953,6,2,16333
266783273,14,2,16333
267289817,4,2,16349
267380033,22,2,16223
267682577,8,2,16361
267747833,6,2,16363
268096193,26,2,14177
268402697,16,2,16381
268435537,28,4,3
268435577,28,2,11
268436081,28,4,5
268437857,28,4,7
268442017,28,8,3
268450097,28,4,11
268452263,28,5,7
268454777,28,2,139
268467497,28,2,179
268468217,28,2,181
268498457,28,2,251
268507817,28,2,269
268514417,28,2,281
268579097,28,2,379
268611017,28,2,419
268676537,28,2,491
268728137,28,2,541
268736219,28,3,67
268796657,28,2,601
268806749,28,5,13
268947713,26,2,14207
268966897,28,12,3
268999457,28,2,751
269004833,22,2,16273
269173337,28,2,859
269348129,28,3,97
269385737,20,2,16381
269386457,16,2,16411
269417537,28,2,991
269535857,28,2,1049
269540057,28,2,1051
269625737,28,2,1091
269780033,18,2,16417
269806697,28,2,1171
269830217,28,2,1181
269846333,2,2,16427
269846393,6,2,16427
269862713,14,2,16427
270044513,10,2,16433
270059873,14,2,16433
270128057,28,2,1301
270191777,24,2,15919
270369497,20,2,16411
270503873,6,2,16447
270506177,28,2,1439
270682457,28,2,1499
270701273,6,2,16453
270702233,10,2,16453
270717593,14,2,16453
270840151,7,3,647
270903497,28,2,1571
271024337,28,2,1609
271063097,28,2,1621
271398713,26,2,14293
271466537,28,2,1741
271627457,12,2,16481
271822193,10,2,16487
271854257,28,4,43
272003777,28,2,1889
272083313,18,2,16487
272234057,28,2,1949
272241857,28,2,1951
272766017,28,2,2081
272799377,28,2,2089
272942897,16,2,16519
273183497,28,2,2179
274018193,14,2,16553
274057097,28,2,2371
274065353,18,2,16547
274142777,28,2,2389
274200257,28,8,7
274237793,22,2,16433
274263953,18,2,16553
274266737,4,2,16561
274270817,12,2,16561
274698113,22,2,16447
274895513,22,2,16453
274926473,18,2,16573
275242337,28,2,2609
275315297,20,2,16561
275624513,28,3,193
275792453,2,2,16607
275793473,10,2,16607
275882897,28,2,2729
275921753,18,2,16603
276015473,22,2,16487
276225137,28,2,2791
276341537,24,2,16111
276382217,28,2,2819
276590177,4,2,16631
276620777,28,2,2861
276656693,2,2,16633
276657713,10,2,16633
276673073,14,2,16633
277073177,28,2,2939
277189457,8,2,16649
277254737,16,2,16649
277441457,28,2,3001
277455653,2,2,16657
277472033,14,2,16657
277589177,8,2,16661
277915697,28,2,3079
278101337,28,2,3109
278478017,28,2,3169
278554217,28,2,3181
278589737,8,2,16691
278593577,12,2,16691
278655017,16,2,16691
278657273,10,2,16693
278659793,22,2,16567
278672633,14,2,16693
278856857,8,2,16699
278860937,24,2,16189
279517697,28,2,3329
279799097,28,2,3371
280261097,4,2,16741
280463033,10,2,16747
280552817,28,4,59
280762577,28,2,3511
280929617,16,2,16759
280998173,2,2,16763
281101937,28,2,3559
281233553,26,2,14633
281819273,26,2,14653
281819753,14,2,16787
282132857,28,2,3701
282475313,6,10,7
282699353,26,2,14683
282737393,18,10,7
283014353,10,2,16823
283348097,16,2,16831
283686653,2,2,16843
283686713,6,2,16843
283687673,10,2,16843
283698953,26,2,14717
283875593,26,2,14723
283948793,18,2,16843
284696177,16,2,16871
284759873,26,2,14753
284900657,4,2,16879
285242417,12,2,16889
285297833,18,2,16883
285303857,16,2,16889
285484097,28,2,4129
285644057,8,2,16901
285645953,26,2,14783
285711473,6,2,16903
285949217,20,2,16879
286191307,7,3,659
286193227,11,3,659
286199371,13,3,659
286320497,8,2,16921
286385777,16,2,16921
286426457,24,2,16421
286539713,14,2,16927
286574537,28,2,4259
286724297,16,2,16931
286830977,28,2,4289
286861973,2,2,16937
286862033,6,2,16937
286948793,26,2,14827
287065253,2,2,16943
287081633,14,2,16943
287207633,22,2,16823
287743433,6,2,16963
287744393,10,2,16963
287880953,22,2,16843
288354617,8,2,16981
288358457,12,2,16981
288514817,28,2,4481
288731633,26,2,14887
288763073,10,2,16993
289024193,18,2,16993
289029473,26,2,14897
289714457,4,2,17021
289804793,26,2,14923
289987097,8,2,17029
289990937,12,2,17029
290067257,28,2,4651
290123153,6,2,17033
290385233,18,2,17033
290422697,20,2,17011
290600273,6,2,17047
290723297,28,2,4721
290763017,20,2,17021
290862353,18,2,17047
291035417,20,2,17029
291043937,24,2,16561
291056273,22,2,16937
291465857,28,2,4799
292162097,28,2,4871
292375817,4,2,17099
292533737,28,2,4909
292649453,2,2,17107
292956353,22,2,16993
293126417,28,2,4969
293197133,2,2,17123
293253833,18,2,17117
293459273,18,2,17123
293645897,28,2,5021
293676833,6,2,17137
293847137,28,4,71
293938913,18,2,17137
294431297,4,2,17159
294499937,4,4,131
294565457,16,4,131
295256513,10,2,17183
295330313,26,2,15107
295479857,20,2,17159
295530497,4,2,17191
295798817,28,2,5231
296080913,6,2,17207
296081873,10,2,17207
296149697,4,2,17209
296215217,16,2,17209
296237633,26,2,15137
296324417,28,2,5281
296342993,18,2,17207
296364953,22,2,17093
296579057,20,2,17191
296843753,22,2,17107
296911457,12,2,17231
297248657,16,2,17239
297390617,28,2,5381
297801017,28,2,5419
297804053,2,2,17257
297931217,28,2,5431
297936113,26,2,15193
297955937,20,2,17231
298665953,26,2,15217
298696457,28,2,5501
298978697,4,2,17291
298978937,8,2,17291
299048873,10,2,17293
299099753,28,3,313
299878493,2,2,17317
299992457,24,2,16829
300017297,8,2,17321
300225953,10,2,17327
300233777,28,2,5639
300241313,14,2,17327
300256337,28,2,5641
300303977,20,2,17299
300369257,28,2,5651
300459737,28,2,5659
300695033,18,2,17333
300775817,16,2,17341
300800177,28,2,5689
301057457,8,2,17351
301334897,4,2,17359
301413113,26,2,15307
301486457,28,2,5749
301596833,26,2,15313
302168753,6,2,17383
302185073,14,2,17383
302222273,18,2,17377
302307833,6,2,17387
302308793,10,2,17387
302324153,14,2,17387
302569913,18,2,17387
303351953,6,2,17417
303421817,8,2,17419
303425897,20,2,17389
303487097,16,2,17419
303745553,26,2,15383
303839777,4,2,17431
303843377,20,2,17401
303843857,12,2,17431
304207817,28,2,5981
304470137,20,2,17419
304520393,18,2,17443
304533137,16,2,17449
305236097,8,2,17471
305445533,2,2,17477
305516177,20,2,17449
305655353,6,2,17483
305656313,10,2,17483
305657657,28,2,6101
305671673,14,2,17483
305707673,18,2,17477
305935337,8,2,17491
305939177,12,2,17491
306146033,10,2,17497
306270257,28,2,6151
306284417,20,2,17471
306630617,16,2,17509
306708209,28,3,337
306764057,24,2,17029
307265873,26,2,15497
307385537,28,4,79
307620617,12,2,17539
307760897,28,2,6271
307963937,20,2,17519
308041697,12,2,17551
308811353,10,2,17573
308897777,28,2,6361
309086777,16,2,17579
309091577,4,2,17581
309153017,24,2,17099
309718337,20,2,17569
309728897,12,2,17599
310025057,28,2,6449
310080977,12,2,17609
310290781,11,3,677
310568537,28,2,6491
310586513,14,2,17623
310687313,26,2,15607
310712153,10,2,17627
311277137,24,4,131
311351057,28,2,6551
311770673,10,2,17657
311937473,26,2,15647
311999509,25,3,653
312259097,16,2,17669
312618017,8,2,17681
312683297,16,2,17681
312688553,6,2,17683
312804377,28,2,6661
312888857,20,2,17659
313004633,22,2,17573
313204937,28,2,6691
313446137,28,2,6709
313554233,14,2,17707
313750373,2,2,17713
313766753,14,2,17713
313960337,24,2,17239
314146577,28,2,6761
314601173,2,2,17737
314601233,6,2,17737
314617553,14,2,17737
314956073,6,2,17747
315027257,8,2,17749
315070697,28,2,6829
315234737,28,2,6841
315366017,20,2,17729
315457217,12,2,17761
315755897,24,2,17291
315893777,28,4,83
315963953,22,2,17657
316197377,28,2,6911
316501697,20,2,17761
316519937,8,2,17791
316654073,26,2,15797
316882793,22,2,17683
317089313,6,2,17807
317801933,2,2,17827
317801993,6,2,17827
317818313,14,2,17827
318064073,18,2,17827
318158573,2,2,17837
318159593,10,2,17837
318234017,12,2,17839
318295457,16,2,17839
318611989,1,3,683
318677341,23,3,677
318723737,16,2,17851
318743059,17,3,683
319086773,2,2,17863
319087793,10,2,17863
319150313,22,2,17747
319572017,24,2,17401
319734257,12,2,17881
319745611,25,3,659
320517413,2,2,17903
320518433,10,2,17903
320549417,28,2,7219
320779553,18,2,17903
320803937,4,2,17911
320869457,16,2,17911
321233933,2,2,17923
321233993,6,2,17923
321780857,20,2,17909
322525937,8,2,17959
323022377,16,2,17971
323281073,22,2,17863
323532173,2,2,17987
323604137,4,2,17989
323669657,16,2,17989
323794313,18,2,17987
324072137,28,2,7459
324393737,24,2,17539
324484553,14,2,18013
325477697,4,2,18041
325566233,14,2,18043
325900433,26,2,16087
325956353,18,2,18047
326193017,16,2,18059
326265257,16,2,18061
326777933,2,2,18077
326778953,10,2,18077
326854097,24,2,17609
327366833,22,2,17977
328298417,8,2,18119
328363697,16,2,18119
328662473,22,2,18013
328822073,14,2,18133
328998353,26,2,16183
329168453,2,2,18143
329168513,6,2,18143
329346737,20,2,18119
329386217,4,2,18149
329386457,8,2,18149
329390297,12,2,18149
329394977,24,2,17681
329430593,18,2,18143
329728697,28,2,7829
329888513,22,2,18047
330549017,8,2,18181
330912737,8,2,18191
330972233,22,2,18077
331146017,28,2,7919
331597337,20,2,18181
331653857,28,2,7951
332077793,6,2,18223
332078753,10,2,18223
332121233,18,2,18217
332296457,4,2,18229
332300537,12,2,18229
332442353,6,2,18233
332611577,28,2,8011
332956571,26,3,643
333060977,28,2,8039
333188393,14,2,18253
333296897,24,2,17791
333318053,2,2,18257
333319073,10,2,18257
333362753,22,2,18143
333544217,28,2,8069
333580193,18,2,18257
333738017,28,2,8081
333756377,4,2,18269
333821897,16,2,18269
333867377,28,2,8089
334147577,20,2,18251
334414433,6,2,18287
334491617,12,2,18289
334553057,16,2,18289
334926857,8,2,18301
335292977,8,2,18311
335382353,14,2,18313
335527937,28,2,8191
335952257,4,2,18329
335975177,20,2,18301
336017777,16,2,18329
336272033,22,2,18223
336396377,12,2,18341
336457817,16,2,18341
336636593,22,2,18233
336811817,28,2,8269
336832673,6,2,18353
337346753,6,2,18367
337366313,22,2,18253
337493657,4,2,18371
337787897,8,2,18379
337810073,26,2,16453
337939457,24,2,17921
338449673,6,2,18397
338600393,26,2,16477
338836217,20,2,18379
339039593,10,2,18413
339127913,26,2,16493
339554393,6,2,18427
339775493,2,2,18433
340443497,12,2,18451
340504937,16,2,18451
340808777,8,2,18461
341026913,22,2,18353
341045297,20,2,18439
341540993,22,2,18367
342069017,28,2,8581
342768473,26,2,16603
342904697,24,2,18059
342976937,24,2,18061
343053917,28,3,421
343101593,6,2,18523
343102553,10,2,18523
343117913,14,2,18523
343141433,18,2,18517
343363673,18,2,18523
343694537,4,2,18539
343698617,12,2,18539
343765553,26,2,16633
343772777,12,2,18541
343934177,28,2,8689
344213813,2,2,18553
344213873,6,2,18553
344456417,28,2,8719
344472103,1,3,701
345190577,28,2,8761
345477593,10,2,18587
345506297,28,2,8779
345510377,24,2,18131
346210217,28,2,8819
347073593,22,2,18517
347325977,24,2,18181
348107033,26,2,16763
348606257,4,2,18671
348671777,16,2,18671
348878417,28,2,8969
349073657,24,2,18229
349654817,20,2,18671
350319857,28,2,9049
350402057,20,2,18691
350438513,18,2,18713
350466497,16,2,18719
350850377,4,2,18731
350915897,16,2,18731
351081737,28,2,9091
351525017,4,2,18749
351525257,8,2,18749
351825053,2,2,18757
352087193,18,2,18757
352144553,26,2,16883
352425533,2,2,18773
352441913,14,2,18773
352573577,20,2,18749
352952393,10,2,18787
353169497,24,2,18341
353328233,10,2,18797
353462297,28,2,9221
353552813,2,2,18803
353552873,6,2,18803
353970833,26,2,16937
354370673,22,2,18713
354564857,24,2,18379
354912017,12,2,18839
355494353,22,2,18743
355661897,4,2,18859
356019353,22,2,18757
356251097,28,2,9371
356401853,10,3,709
356619833,22,2,18773
356626337,28,2,9391
357172217,4,2,18899
357237737,16,2,18899
357371153,22,2,18793
357521513,22,2,18797
357585737,24,2,18461
357626177,8,2,18911
357709073,26,2,17047
357853913,10,2,18917
357869273,14,2,18917
357932657,12,2,18919
358674497,20,2,18911
358977137,20,2,18919
359427977,28,2,9539
359443697,4,2,18959
359974733,2,2,18973
360202457,4,2,18979
360595133,22,3,709
360960617,28,2,9619
361038017,4,2,19001
361407617,16,2,19009
361494173,2,2,19013
361494233,6,2,19013
361495193,10,2,19013
361756313,18,2,19013
361770377,28,2,9661
362047193,22,2,18917
362086577,20,2,19001
362183057,12,2,19031
362244497,16,2,19031
362390657,20,2,19009
362407433,6,2,19037
362940857,8,2,19051
363183113,22,2,18947
363283577,28,2,9739
363478457,28,2,9749
363692297,16,2,19069
363780353,10,2,19073
363879449,28,3,457
364084817,8,2,19081
364575713,18,2,19087
365044697,28,2,9829
365133137,20,2,19081
365872097,28,2,9871
366301577,8,2,19139
366305417,12,2,19139
366378137,8,2,19141
366443417,16,2,19141
366987353,26,2,17317
366991673,10,2,19157
367178177,24,2,18719
367220573,2,2,19163
367258937,28,2,9941
367914857,12,2,19181
367973633,22,2,19073
367987493,2,2,19183
368003873,14,2,19183
368507873,22,2,19087
368908853,2,2,19207
368925233,14,2,19207
369052577,24,4,137
369062777,8,2,19211
369128057,16,2,19211
369139373,2,2,19213
369140393,10,2,19213
369155753,14,2,19213
369216977,28,2,10039
369369977,4,2,19219
369435497,16,2,19219
370324313,18,2,19237
370524017,4,2,19249
370913177,12,2,19259
371448533,2,2,19273
371464913,14,2,19273
371572577,20,2,19249
371710673,18,2,19273
372065537,4,2,19289
372439097,24,2,18859
372532697,12,2,19301
372594137,16,2,19301
373223777,4,2,19319
373227857,12,2,19319
373301057,4,4,139
373301297,8,4,139
373577177,20,2,19301
373764893,2,2,19333
375165017,28,2,10331
375314153,10,2,19373
375411593,22,2,19267
375545897,8,2,19379
375855773,2,2,19387
375855833,6,2,19387
375872153,14,2,19387
376076417,16,2,19391
376408337,28,2,10391
376979657,24,2,18979
377020913,10,2,19417
377036273,14,2,19417
377059457,20,2,19391
377175257,4,2,19421
377175497,8,2,19421
377240777,16,2,19421
377269313,14,2,19423
377408333,2,2,19427
377408393,6,2,19427
377490137,12,2,19429
377959193,22,2,19333
378026533,25,3,701
378185813,2,2,19447
378186833,10,2,19447
378223817,20,2,19421
378534617,20,2,19429
378574913,6,2,19457
378591233,14,2,19457
378706457,28,2,10501
378809393,10,2,19463
378956177,24,2,19031
379001057,20,2,19441
379353593,6,2,19477
379507433,22,2,19373
379587353,6,2,19483
379825217,12,2,19489
379849433,18,2,19483
379886657,16,2,19489
380090537,20,2,19469
380354537,16,2,19501
380523113,6,2,19507
380539433,14,2,19507
380861777,24,2,19081
381459977,4,2,19531
381525497,16,2,19531
381602633,22,2,19427
381710033,26,2,17737
381850697,4,2,19541
381854777,12,2,19541
381928853,2,2,19543
381928913,6,2,19543
382380113,22,2,19447
382554737,8,2,19559
382732937,28,2,10691
383028137,12,2,19571
383078537,24,2,19139
383493953,6,2,19583
383510273,14,2,19583
383547833,22,2,19477
383756033,18,2,19583
383761577,28,2,10739
383936759,28,3,487
384042413,2,2,19597
384513137,8,2,19609
384578417,16,2,19609
386353337,28,2,10859
386554937,4,2,19661
386555177,8,2,19661
386620457,16,2,19661
387301217,24,2,19249
387407297,16,2,19681
387420617,7,18,3
387428681,13,18,3
387436873,14,18,3
387577973,2,2,19687
387578033,6,2,19687
387971813,2,2,19697
387972833,10,2,19697
387988193,14,2,19697
388054697,12,2,19699
388342793,26,2,17923
388444697,4,2,19709
388760153,6,2,19717
389022233,18,2,19717
389154593,6,2,19727
389170913,14,2,19727
390078257,24,4,139
390106097,12,2,19751
390181013,2,2,19753
390197393,14,2,19753
390483617,16,2,19759
391129733,2,2,19777
391129793,6,2,19777
391150577,20,2,19751
391391873,18,2,19777
391577033,26,2,18013
391614793,22,18,3
391763873,10,2,19793
392024993,18,2,19793
393226697,28,2,11171
393348833,22,2,19727
393669377,12,2,19841
393761033,14,2,19843
393832853,4,3,733
393841337,20,2,19819
393849221,14,3,733
394006793,18,2,19843
394141613,2,2,19853
394142633,10,2,19853
394403753,18,2,19853
394459577,8,2,19861
394463417,12,2,19861
394524857,16,2,19861
395572577,8,2,19889
395637857,16,2,19889
395651297,28,2,11279
395957153,22,2,19793
396102857,28,2,11299
396766817,8,2,19919
396832097,16,2,19919
397085333,2,2,19927
397938953,22,2,19843
397962857,8,2,19949
397966697,12,2,19949
398027141,22,3,733
398372657,28,2,11399
398441777,8,2,19961
398521433,6,2,19963
398783513,18,2,19963
399160457,4,2,19979
399164537,12,2,19979
399736433,14,2,19993
399880073,6,2,19997
399881033,10,2,19997
400019297,28,2,11471
400280873,26,2,18253
400440377,8,2,20011
400444217,12,2,20011
400920593,6,2,20023
400921553,10,2,20023
401678273,22,2,19937
401898593,14,2,20047
402042857,8,2,20051
402108137,16,2,20051
402508697,28,2,11579
402524033,6,2,20063
402849137,12,2,20071
402910577,16,2,20071
403914353,22,2,19993
404115737,16,2,20101
404455553,26,2,18367
404955833,18,2,20117
405068177,28,2,11689
405176897,8,2,20129
405221897,24,2,19709
405242177,16,2,20129
405558473,26,2,18397
405741473,10,2,20143
405902633,10,2,20147
406147433,26,2,18413
406531457,16,2,20161
406663193,26,2,18427
406949993,6,2,20173
407030777,20,2,20149
407699057,28,2,11801
407777723,22,3,739
408084497,12,2,20201
408597377,28,2,11839
408808217,8,2,20219
409129433,22,2,20123
409469873,26,2,18503
409593617,28,4,109
409988153,26,2,18517
410180599,13,3,743
410303479,17,3,743
410338681,3,7,17
410371441,15,7,17
410512217,12,2,20261
410836457,12,2,20269
410975177,28,2,11939
411556697,20,2,20261
411562373,2,2,20287
411563393,10,2,20287
411824513,18,2,20287
411968213,2,2,20297
412230353,18,2,20297
413024393,6,2,20323
413543777,24,2,19919
413756537,8,2,20341
413821817,16,2,20341
414001433,10,2,20347
414244673,6,2,20353
414262553,18,2,20347
414554417,16,2,20359
414869657,28,2,12101
415218737,24,2,19961
415537457,20,2,20359
415711337,4,2,20389
415711577,8,2,20389
416417297,24,2,19991
416674457,16,2,20411
417285233,26,2,18713
417381233,22,2,20327
417425777,4,2,20431
417617657,24,2,20021
417625193,22,2,20333
417834497,4,2,20441
417834737,8,2,20441
417900017,16,2,20441
418195621,7,5,53
418197541,11,5,53
418438913,22,2,20353
418719781,19,5,53
418963817,28,2,12269
419554313,10,2,20483
419815433,18,2,20483
420345137,24,2,20089
420436073,26,2,18797
420438017,20,2,20479
420439697,28,2,12329
420537053,2,2,20507
420619097,4,2,20509
420684617,16,2,20509
420827417,24,2,20101
421675097,28,2,12379
421972337,28,2,12391
422014913,6,2,20543
422276993,18,2,20543
422409137,16,2,20551
422837033,6,2,20563
422837993,10,2,20563
423243137,24,2,20161
423462857,28,2,12451
423564767,4,3,751
423630287,16,3,751
424072673,10,2,20593
424319057,8,2,20599
424460537,28,2,12491
425798393,22,2,20533
425968577,8,2,20639
426050897,4,2,20641
426209153,22,2,20543
426975953,14,2,20663
427031273,22,2,20563
427099457,20,2,20641
427220657,28,2,12601
427285337,24,2,20261
427674617,28,2,12619
429194093,2,2,20717
429210473,14,2,20717
429276977,4,2,20719
429281057,12,2,20719
429456233,18,2,20717
429774377,4,2,20731
429778457,12,2,20731
430273073,10,2,20743
430586537,16,2,20749
430688033,10,2,20753
430703393,14,2,20753
430822937,20,2,20731
430888193,26,2,19073
430936097,4,2,20759
430940177,12,2,20759
430949153,18,2,20753
431434457,4,2,20771
431518553,10,2,20773
431789417,28,2,12781
432248057,16,2,20789
432896417,24,2,20399
432931253,2,2,20807
432931313,6,2,20807
432932273,10,2,20807
432974153,22,2,20707
