p,m_k,n_k,q_k
414977,12,2,641
419753,18,2,397
426737,16,2,601
427433,10,2,653
434297,4,2,659
438377,12,2,659
448697,16,2,619
458333,2,2,677
459353,10,2,677
466553,6,2,683
470993,18,2,457
476513,18,2,463
477497,4,2,691
481577,12,2,691
482873,14,2,683
491417,4,2,701
493043,2,3,79
502937,8,2,709
515153,18,2,503
516977,4,2,719
517217,8,2,719
524369,19,4,3
524413,19,3,5
525017,19,6,3
531457,4,12,3
531569,7,12,3
535673,18,2,523
539633,13,12,3
543017,16,2,691
543971,19,9,3
546137,4,2,739
548677,19,3,29
552053,2,2,743
552113,6,2,743
553073,10,2,743
564017,4,2,751
564257,8,2,751
568097,12,2,751
568433,14,2,743
571789,1,3,83
579113,18,2,563
583337,19,10,3
591377,4,2,769
593209,19,3,41
595073,18,2,577
596977,16,12,3
597593,6,2,773
611657,16,2,739
619373,2,2,787
620393,10,2,787
629537,16,2,751
630593,18,2,607
642833,18,2,617
662513,17,12,3
674057,4,2,821
675593,18,2,643
677333,2,2,823
683933,2,2,827
685339,19,5,11
691337,12,2,829
704177,8,2,839
705097,7,3,89
708017,12,2,839
715073,18,2,673
723257,16,2,811
727613,2,2,853
727673,6,2,853
735473,10,2,857
737897,4,2,859
744833,6,2,863
761153,14,2,863
776177,4,2,881
779693,2,2,883
780257,12,2,881
786833,6,2,887
787793,10,2,887
803417,16,2,859
814193,18,2,743
822713,6,2,907
823547,2,7,7
823799,8,7,7
827639,12,7,7
830177,8,2,911
841697,16,2,881
882199,19,3,71
885497,4,2,941
885737,8,2,941
895457,16,2,911
908213,2,2,953
910097,16,2,919
912929,8,3,97
929057,14,3,97
935093,2,2,967
936113,10,2,967
942857,4,2,971
943097,8,2,971
966293,2,2,983
966353,6,2,983
978209,16,3,97
982097,4,2,991
982337,8,2,991
986177,12,2,991
989753,18,2,853
994013,2,2,997
994073,6,2,997
1018097,4,2,1009
1018337,8,2,1009
1030429,7,3,101
1032349,11,3,101
1038617,8,2,1019
1048601,20,2,5
1048919,20,3,7
1049201,20,4,5
1049537,20,2,31
1050773,20,3,13
1050977,20,4,7
1053617,20,2,71
1055137,20,8,3
1062977,4,2,1031
1064201,20,6,5
1067057,12,2,1031
1068113,10,2,1033
1068259,20,9,3
1070777,20,2,149
1071377,20,2,151
1078367,20,3,31
1079777,8,2,1039
1081337,20,2,181
1083473,14,2,1033
1084793,18,2,907
1085687,18,7,7
1092731,2,3,103
1093751,10,3,103
1108697,12,2,1051
1111577,20,2,251
1127537,20,2,281
1128497,16,2,1031
1142777,4,2,1069
1145057,16,2,1039
1146857,12,2,1069
1158263,16,3,103
1158953,18,2,947
1165937,16,2,1049
1170137,16,2,1051
1178897,20,4,19
1181573,2,2,1087
1181633,6,2,1087
1182593,10,2,1087
1195673,10,2,1093
1197953,14,2,1087
1208297,16,2,1069
1219793,14,2,1097
1225723,20,11,3
1225817,20,2,421
1229257,19,3,89
1229897,4,2,1109
1247693,2,2,1117
1250177,20,2,449
1261133,2,2,1123
1289657,20,2,491
1295033,2,3,109
1328417,20,4,23
1328897,12,2,1151
1329233,18,2,1033
1341257,20,2,541
1349339,20,3,67
1353593,10,2,1163
1374617,20,2,571
1375337,12,2,1171
1394777,4,2,1181
1409033,6,2,1187
1420369,9,5,17
1431737,20,2,619
1442657,8,2,1201
1442899,1,3,113
1443713,18,2,1087
1459457,20,2,641
1471433,6,2,1213
1481153,6,2,1217
1487753,14,2,1213
1496753,10,2,1223
1512113,14,2,1223
1514537,12,2,1229
1515377,4,2,1231
1515617,8,2,1231
1530173,2,2,1237
1530233,6,2,1237
1554589,19,3,101
1560257,8,2,1249
1564097,12,2,1249
1573969,17,3,113
1580897,16,2,1231
1591553,18,2,1153
1594331,3,13,3
1594339,4,13,3
1594387,6,13,3
1594451,7,13,3
1646153,6,2,1283
1650617,16,2,1259
1683233,10,2,1297
1692857,8,2,1301
1696697,12,2,1301
1697873,6,2,1303
1698833,10,2,1303
1727057,16,2,1289
1743233,18,2,1217
1745057,4,2,1321
1745297,8,2,1321
1752497,20,2,839
1777313,14,2,1327
1786457,20,2,859
1792313,18,2,1237
1810577,16,2,1321
1837097,16,6,11
1868693,2,2,1367
1868753,6,2,1367
1874177,4,4,37
1874417,8,4,37
1878257,12,4,37
1886153,10,2,1373
1911617,20,2,929
1944353,18,2,1297
1953157,5,9,5
1953253,7,9,5
1961249,20,3,97
1972097,20,4,31
1985537,8,2,1409
2022737,16,2,1399
2024933,2,2,1423
2030657,20,2,991
2036393,6,2,1427
2037353,10,2,1427
2042297,8,2,1429
2048639,8,3,127
2049407,10,3,127
2050817,16,2,1409
2053553,6,2,1433
2064767,14,3,127
2070737,4,2,1439
2074817,12,2,1439
2093813,2,2,1447
2100277,21,5,5
2103713,21,8,3
2105417,4,2,1451
2128697,4,2,1459
2132777,12,2,1459
2147273,18,2,1373
2167937,12,2,1471
2170937,16,2,1451
2191337,20,2,1069
2200313,10,2,1483
2211233,6,2,1487
2215673,14,2,1483
2221217,12,2,1489
2229113,6,2,1493
2247257,8,2,1499
2248123,5,3,131
2258203,21,5,11
2283137,4,2,1511
2283377,8,2,1511
2319533,2,2,1523
2319593,6,2,1523
2320553,10,2,1523
2335913,14,2,1523
2380853,2,2,1543
2412833,10,2,1553
2434577,12,2,1559
2455553,6,2,1567
2464937,16,2,1549
2476163,6,5,19
2477413,19,9,5
2497337,12,2,1579
2506913,10,2,1583
2533577,16,2,1571
